#ZVView-data-copy:  23-Feb-2020 09:03:47
#=======================================
#
#name:   30-ZN-64(N,P)29-CU-64,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  320
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          5.13         0.05        0.189        0.007  # 1972,D.C.Santry+         ## 10224003  #dY:3.7%   
          5.13         0.18        0.184        0.007  # 1972,D.C.Santry+         ## 10224004  #dY:3.8%   
          5.16          0.1        0.166     0.009296  # 2008,M.Furuta+           ## 23032009  #dY:5.6%   
         5.174        0.082       0.1658      0.00829  # 1975,D.L.Smith+          ## 10238044  #dY:5.0%   
          5.26          0.1        0.165     0.008415  # 2008,M.Furuta+           ## 23032009  #dY:5.1%   
           5.3          0.2        0.194        0.007  # 1972,D.C.Santry+         ## 10224004  #dY:3.6%   
          5.33         0.04        0.199        0.007  # 1972,D.C.Santry+         ## 10224003  #dY:3.5%   
         5.377        0.083       0.1706     0.008531  # 1975,D.L.Smith+          ## 10238044  #dY:5.0%   
         5.384        0.167        0.148     0.007398  # 1975,D.L.Smith+          ## 10238045  #dY:5.0%   
          5.48          0.1        0.151      0.03473  # 2008,M.Furuta+           ## 23032009  #dY:23.0%  
         5.576        0.083       0.1699     0.008497  # 1975,D.L.Smith+          ## 10238044  #dY:5.0%   
          5.61         0.01        0.195        0.007  # 1972,D.C.Santry+         ## 10224003  #dY:3.6%   
           5.7         0.16        0.225        0.007  # 1972,D.C.Santry+         ## 10224004  #dY:3.1%   
         5.725        0.164       0.1616     0.008241  # 1975,D.L.Smith+          ## 10238045  #dY:5.1%   
          5.94         0.15        0.229        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.5%   
             6        0.045        0.229        0.007  # 1972,D.C.Santry+         ## 10224003  #dY:3.1%   
             6        0.065       0.2052       0.0079  # 1999,Xiaolong Huang+     ## 31500002  #dY:3.8%   
         6.277        0.163       0.1776     0.009057  # 1975,D.L.Smith+          ## 10238045  #dY:5.1%   
           6.3         0.29        0.241        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.3%   
           6.4         0.14        0.263        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.0%   
           6.5         0.01        0.259         0.01  # 1972,D.C.Santry+         ## 10224003  #dY:3.9%   
          6.51         0.14        0.264        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.0%   
          6.75         0.14        0.251        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.2%   
         6.978        0.167       0.1626     0.008132  # 1975,D.L.Smith+          ## 10238045  #dY:5.0%   
             7        0.075       0.2195       0.0084  # 1999,Xiaolong Huang+     ## 31500002  #dY:3.8%   
          7.01         0.13        0.237        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.4%   
          7.25         0.12        0.258        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.1%   
          7.47         0.12        0.239        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.3%   
         7.485        0.175       0.1744     0.008722  # 1975,D.L.Smith+          ## 10238045  #dY:5.0%   
           7.5         0.12        0.238        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.4%   
          7.59         0.12        0.255        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.1%   
           7.6         0.15        0.249         0.03  # 1978,Yu.A.Nemilov+       ## 40485003  #dY:12.0%  
           7.8         0.12        0.268        0.009  # 1972,D.C.Santry+         ## 10224004  #dY:3.4%   
         7.984        0.182       0.1749     0.008919  # 1975,D.L.Smith+          ## 10238045  #dY:5.1%   
          8.01         0.11        0.261        0.009  # 1972,D.C.Santry+         ## 10224004  #dY:3.4%   
          8.27         0.11        0.253        0.008  # 1972,D.C.Santry+         ## 10224004  #dY:3.2%   
           8.3         0.15         0.25         0.03  # 1978,Yu.A.Nemilov+       ## 40485003  #dY:12.0%  
          8.37         0.29        0.235        0.012  # 1999,Xiaolong Huang+     ## 31500002  #dY:5.1%   
         8.478        0.191       0.1859     0.009481  # 1975,D.L.Smith+          ## 10238045  #dY:5.1%   
         8.495        0.063       0.2353    0.0068708  # 2007,W.Mannhart+         ## 22976028  #dY:2.9%   
          8.61         0.11        0.275        0.009  # 1972,D.C.Santry+         ## 10224004  #dY:3.3%   
           8.8         0.15        0.252         0.03  # 1978,Yu.A.Nemilov+       ## 40485003  #dY:11.9%  
         8.968        0.199       0.1908     0.009733  # 1975,D.L.Smith+          ## 10238045  #dY:5.1%   
         8.973         0.06       0.2412    0.0070672  # 2007,W.Mannhart+         ## 22976028  #dY:2.9%   
